geometry_id,load_case,L2_rel_u,MAE_u,R2_u,p50_u,p90_u,p95_u,p99_u,L2_rel_vm,MAE_vm,R2_vm,p50_vm,p90_vm,p95_vm,p99_vm,L2_rel_vm_ip,MAE_vm_ip,R2_vm_ip,p50_vm_ip,p90_vm_ip,p95_vm_ip,p99_vm_ip
51,Lateral bending,1.2334,0.00579668,0.999635,0.5035,0.9321,1.0734,1.36,12.4894,172414.40801518,0.906678,1.3556,3.56,4.3538,8.7644,12.4179,171361.73881102,0.908851,1.2118,3.1726,3.8736,7.4104
52,Compression,1.7952,0.00938314,0.999046,0.8605,1.5487,1.8211,2.5305,9.9157,69066.02836045,0.912737,1.2781,4.7141,6.8162,11.2091,9.8322,68215.68674234,0.913195,1.2606,4.507,6.6315,10.642
52,Lateral bending,1.1563,0.00561805,0.999682,0.4937,0.9273,1.081,1.3838,13.4867,313725.92172591,0.918421,1.3545,5.0617,6.4154,12.8666,13.4856,312241.12399126,0.919158,1.2107,4.5111,5.7225,11.101
53,Compression,1.8416,0.00998226,0.999164,0.9024,1.6896,1.9927,2.7301,15.4641,157337.93882873,0.898882,1.8023,6.3823,8.3702,15.4247,15.4337,156906.31075727,0.898698,1.795,6.3283,8.3233,15.3748
53,Lateral bending,1.4932,0.00757523,0.999505,0.67,1.3029,1.5197,1.978,18.1904,694187.10844279,0.905346,2.4515,8.0559,11.0842,21.8229,18.1602,692940.82813862,0.905686,2.1969,7.1467,9.7763,19.7621
54,Compression,1.3708,0.00708615,0.99941,0.6547,1.1693,1.3395,1.6931,7.99,35269.53400771,0.911734,1.1616,3.4956,4.8161,9.1092,7.8567,34771.73843026,0.913644,1.1573,3.4358,4.6578,8.4693
54,Lateral bending,1.1564,0.00543085,0.999686,0.4769,0.8772,1.0063,1.2751,12.1175,173796.51855223,0.920485,1.1397,3.4116,4.8388,8.6207,12.0993,172808.30292828,0.921485,1.019,3.0319,4.3032,7.455
55,Compression,1.281,0.00678486,0.999493,0.6254,1.1197,1.2801,1.6262,8.5633,40235.91750964,0.912095,1.174,3.6097,5.6778,9.8189,8.456,39725.08504572,0.913381,1.1677,3.522,5.4565,9.2128
55,Lateral bending,1.0893,0.005171,0.999721,0.4534,0.8502,0.9822,1.2395,12.8865,204681.94070149,0.917501,1.0055,4.2571,5.9517,9.1823,12.8614,203351.4921748,0.918547,0.9003,3.7771,5.296,7.9802
56,Compression,1.4662,0.00749436,0.999215,0.6706,1.2947,1.5146,2.069,10.3107,59865.45002322,0.596992,1.2381,4.3661,6.5304,12.8968,10.1562,58833.27616571,0.598924,1.2045,4.2276,6.1012,12.4469
56,Lateral bending,1.4187,0.00647065,0.999511,0.5537,1.0835,1.2635,1.6469,15.5064,341872.27999934,0.864722,1.3145,5.1336,7.0045,11.005,15.4892,339173.54245793,0.867561,1.1674,4.563,6.162,9.6928
57,Compression,1.5295,0.0078469,0.999158,0.7158,1.3384,1.5413,1.9912,10.2831,42326.01194884,0.51631,1.2388,4.3859,6.5042,12.9947,10.0856,41618.98651656,0.522317,1.2191,4.258,6.2132,11.6018
