geometry_id,load_case,L2_rel_u,MAE_u,R2_u,p50_u,p90_u,p95_u,p99_u,L2_rel_vm,MAE_vm,R2_vm,p50_vm,p90_vm,p95_vm,p99_vm,L2_rel_vm_ip,MAE_vm_ip,R2_vm_ip,p50_vm_ip,p90_vm_ip,p95_vm_ip,p99_vm_ip
42,Lateral bending,1.5997,0.00824539,0.999302,0.7353,1.5063,1.7394,2.1647,12.9082,304544.59345056,0.925494,1.0463,3.6315,5.4274,10.1916,12.8445,302729.82359625,0.928273,0.9216,3.2066,4.855,9.1813
43,Compression,1.463,0.00603625,0.999429,0.5072,1.0318,1.2519,1.7071,9.7987,84544.39487856,0.915792,1.2647,5.3413,7.7777,13.6706,8.8543,78453.23537703,0.930249,1.1994,4.5351,6.7438,11.4871
43,Lateral bending,1.4427,0.00665892,0.999515,0.5885,1.2061,1.4197,1.8503,13.6321,268484.68683805,0.900615,0.9111,3.8774,6.0645,11.3894,13.3634,264172.91059998,0.908738,0.7872,3.45,5.4033,10.1725
44,Compression,1.4692,0.00662609,0.99936,0.5634,1.0996,1.2895,1.7004,8.9243,66760.27465647,0.938227,1.2908,4.5364,6.6549,11.7921,8.0494,61020.59579669,0.949225,1.1293,3.5875,5.3601,9.4922
44,Lateral bending,1.8422,0.00958756,0.999075,0.8776,1.6831,1.9412,2.4532,14.9957,217893.51299384,0.899233,1.0085,3.726,6.58,11.5709,14.777,215030.23036788,0.905479,0.8812,3.3213,5.9584,10.3619
45,Compression,1.283,0.00589379,0.999475,0.5082,0.9755,1.1502,1.4964,8.2105,77142.55059907,0.941046,1.1241,4.011,5.9963,11.5973,7.185,69765.38005866,0.954401,1.0658,3.4682,4.9241,9.4294
45,Lateral bending,1.3225,0.00650827,0.99953,0.5655,1.2046,1.4133,1.8264,12.21,271156.57412714,0.934524,1.0353,3.0048,4.5729,8.822,12.1803,268601.72278233,0.936725,0.9109,2.6619,3.9947,8.0863
46,Compression,1.4344,0.00586665,0.999469,0.5036,0.996,1.1855,1.6776,9.6734,124796.67897495,0.922,1.2423,5.4954,7.9143,12.1705,9.0012,117293.76722979,0.931377,1.1784,4.7579,7.1446,11.3136
46,Lateral bending,1.3558,0.00624065,0.999579,0.5576,1.1243,1.329,1.7361,14.1689,423632.57897308,0.892748,1.0672,4.3794,6.0459,13.2744,14.0992,423011.2431296,0.898363,0.9423,3.947,5.483,11.9984
47,Compression,1.2648,0.00563934,0.99951,0.4772,0.9474,1.1325,1.5786,7.3596,82447.28616905,0.954792,1.0074,3.7078,5.572,9.9659,6.6344,75737.48679795,0.962915,0.9496,3.2735,4.8043,8.2636
47,Lateral bending,1.292,0.00651301,0.999553,0.5781,1.1751,1.3791,1.7647,11.7961,289263.3642244,0.93724,0.9545,3.1038,4.7755,9.0712,11.757,287489.44420638,0.939285,0.8491,2.7538,4.2201,8.1869
48,Compression,1.6552,0.00686768,0.999321,0.5959,1.1643,1.3814,1.875,9.8179,156422.75291401,0.92795,1.5891,5.6339,7.5197,11.471,9.3704,150354.49227909,0.933285,1.5311,5.0851,7.0301,10.9723
48,Lateral bending,1.5845,0.00746543,0.999426,0.6608,1.3669,1.5973,2.0399,13.8459,487077.23711143,0.896521,1.2699,4.5059,6.3151,13.3537,13.8449,487501.96277163,0.900553,1.1242,4.07,5.7124,12.0112
49,Compression,1.3834,0.00592545,0.999467,0.4964,1.0108,1.2275,1.7029,9.1746,85307.96567408,0.931947,1.2362,4.9995,7.2369,12.382,8.4736,80117.10698934,0.941052,1.1795,4.3073,6.3926,10.7669
49,Lateral bending,1.6524,0.00800353,0.999315,0.688,1.5196,1.7525,2.206,14.0954,270900.76962594,0.902929,0.939,3.877,6.6518,11.7086,13.8705,268915.52986314,0.90976,0.8317,3.5012,5.9367,10.5505
50,Compression,1.5616,0.00662991,0.999354,0.5771,1.1245,1.3263,1.8021,8.503,148259.89116765,0.942389,1.3165,4.7674,6.8739,10.2059,8.0506,141480.73988733,0.947674,1.2798,4.2925,6.1828,9.6998
50,Lateral bending,1.6369,0.00780573,0.999356,0.6831,1.4627,1.6992,2.1191,12.2748,442124.23969727,0.923852,1.004,3.9098,5.2985,11.4564,12.327,444706.89219217,0.925524,0.9139,3.4891,4.7402,10.4388
